ID;Company Name;Trade Name;Address Status;Address 1;Address 2;Postal Code;City;State/Province;Country;Company Registration Number;Company Registration Type Code;Country Phone Access Code;Business Category Code 1;Business Category Code 1 - Description;Founding Year;Yearly Revenue Local Currency;Yearly Revenue in U.S. Dollars;Employees On Site;Employees Total;Import/Export Code;Import/Export Code - Description;Business Legal Type;Business Legal Type - Description;Location Type - Description;Subsidiary Code - Description;Local Headquarter ID Number;Local Headquarter Company Name;Local Headquarter Street Address;Local Headquarter City;Local Headquarter State/Province;Local Headquarter Country Name;Local Headquarter Postal Code;National Headquarter ID Number;National Headquarter Company Name;National Headquarter Street Address;National Headquarter City Name;National Headquarter State/Province Name;National Headquarter Postal Code;Global Headquarter ID Number;Global Headquarter Company Name;Global Headquarter Street Address;Global Headquarter City Name;Global Headquarter State/Province;Global Headquarter Country Name;Global Headquarter Postal Code;Number of Companies in Group;Group Code;Group Linkage Code
271137639;Deutsche Bahn AG;;N;Potsdamer Platz 2;;10785;Berlin;Berlin, Stadt;Germany;10623B50000B;;0049;6719;Offices of Holding Companies, Not Elsewhere Classified;1992;45191000000;49121306461;249251;302816;G;Not available or none;3;Corporation;Headquarter/Parent (branches and/or subsidiaries report to it);Is a subsidiary;271790535;Bundesministerium fur Digitales und Verkehr;Invalidenstr. 44;Berlin;Berlin;GERMANY;10115;273468323;Bundesrepublik Deutschland;Dorotheenstr. 84;Berlin;Berlin;10117;273468323;Bundesrepublik Deutschland;Dorotheenstr. 84;Berlin;Berlin;GERMANY;10117;7869;846700;4
270767806;Totalenergies Holdings Deutschland GMBH;;N;Jean-monnet-str. 2;;10557;Berlin;Berlin, Stadt;Germany;10623B80333B;;0049;6719;Offices of Holding Companies, Not Elsewhere Classified;2016;20463391000;21253052795;3;2010;G;Not available or none;3;Corporation;Headquarter/Parent (branches and/or subsidiaries report to it);Is a subsidiary;391115263;TOTALENERGIES HOLDINGS EUROPE;LA DEFENSE 6;COURBEVOIE;ILE-DE-FRANCE;FRANCE;92400;270767806;TotalEnergies Holdings Deutschland GmbH;Jean-Monnet-Str. 2;Berlin;Berlin;10557;263116871;TOTALENERGIES SE;LA DEFENSE 6;COURBEVOIE;ILE-DE-FRANCE;FRANCE;92400;5531;20565506;3
272588433;Zalando SE;;N;Valeska-gert-str. 5;;10243;Berlin;Berlin, Stadt;Germany;10623B158855B;;0049;5961;Catalog and Mail-Order Houses;2008;10143100000;11025255550;0;15793;H;Exports;3;Corporation;Headquarter/Parent (branches and/or subsidiaries report to it);;272588433;Zalando SE;Valeska-Gert-Str. 5;Berlin;Berlin;GERMANY;10243;272588433;Zalando SE;Valeska-Gert-Str. 5;Berlin;Berlin;10243;272588433;Zalando SE;Valeska-Gert-Str. 5;Berlin;Berlin;GERMANY;10243;108;28615696;1
275318138;50hertz Transmission GMBH;;N;Heidestr. 2;;10557;Berlin;Berlin, Stadt;Germany;10623B84446B;;0049;4911;Electric Services;2010;10074400000;10950580642;0;1470;G;Not available or none;3;Corporation;Headquarter/Parent (branches and/or subsidiaries report to it);Is a subsidiary;273450501;Eurogrid GmbH;Heidestr. 2;Berlin;Berlin;GERMANY;10557;273450501;Eurogrid GmbH;Heidestr. 2;Berlin;Berlin;10557;285128073;Elia Group;Boulevard de l'Empereur 20;Bruxelles;;BELGIUM;1000;47;28129026;4
273450501;Eurogrid GMBH;;N;Heidestr. 2;;10557;Berlin;Berlin, Stadt;Germany;10623B130427B;;0049;6719;Offices of Holding Companies, Not Elsewhere Classified;2020;10027800000;10899927794;0;1688;G;Not available or none;3;Corporation;Headquarter/Parent (branches and/or subsidiaries report to it);Is a subsidiary;286871771;Eurogrid International;Boulevard de l'Empereur 20;Bruxelles;;BELGIUM;1000;273450501;Eurogrid GmbH;Heidestr. 2;Berlin;Berlin;10557;285128073;Elia Group;Boulevard de l'Empereur 20;Bruxelles;;BELGIUM;1000;47;28129025;3
273760714;Delivery Hero SE;;N;Oranienburger Str. 70;;10117;Berlin;Berlin, Stadt;Germany;10623B198015B;;0049;6719;Offices of Holding Companies, Not Elsewhere Classified;2011;9941900000;10806556985;0;47981;G;Not available or none;3;Corporation;Headquarter/Parent (branches and/or subsidiaries report to it);;273760714;Delivery Hero SE;Oranienburger Str. 70;Berlin;Berlin;GERMANY;10117;273760714;Delivery Hero SE;Oranienburger Str. 70;Berlin;Berlin;10117;273760714;Delivery Hero SE;Oranienburger Str. 70;Berlin;Berlin;GERMANY;10117;247;3497372;1
269856361;Rosneft Deutschland GMBH;;N;Behrenstr. 18;;10117;Berlin;Berlin, Stadt;Germany;10623B184025B;;0049;4731;Arrangement of Transportation of Freight and Cargo;2017;9416818788;10235808935;125;125;G;Not available or none;3;Corporation;Headquarter/Parent (branches and/or subsidiaries report to it);Is a subsidiary;284168743;ROSNEFT HOLDINGS LTD S.A.;Allee Marconi 16;LUXEMBOURG;;LUXEMBURG;2120;269856361;Rosneft Deutschland GmbH;Behrenstr. 18;Berlin;Berlin;10117;284168743;NK ROSNEFT, PAO;d. 26/1 naberezhnaya Sofiskaya;MOSCOW;;RUSSIA;115035;331;4116085;2
270768207;Bayer Pharma AG;;N;Mullerstr. 178;;13353;Berlin;Berlin, Stadt;Germany;10623B283B;;0049;2834;Pharmaceutical Preparations;1864;8795113000;9300110798;10114;26561;H;Exports;3;Corporation;Headquarter/Parent (branches and/or subsidiaries report to it);Is a subsidiary;270781670;Bayer AG;Kaiser-Wilhelm-Allee 1;Leverkusen;Nordrhein-Westfalen;GERMANY;51373;270781670;Bayer AG;Kaiser-Wilhelm-Allee 1;Leverkusen;Nordrhein-Westfalen;51373;270781670;Bayer AG;Kaiser-Wilhelm-Allee 1;Leverkusen;Nordrhein-Westfalen;GERMANY;51373;1271;30548087;2
269766396;Hellofresh SE;Hello Fresh SE;N;Prinzenstr. 89;;10969;Berlin;Berlin, Stadt;Germany;10623B182382B;;0049;2099;Food Preparations, Not Elsewhere Classified;2015;7596600000;8257283899;0;19012;G;Not available or none;3;Corporation;Headquarter/Parent (branches and/or subsidiaries report to it);;269766396;HelloFresh SE;Prinzenstr. 89;Berlin;Berlin;GERMANY;10969;269766396;HelloFresh SE;Prinzenstr. 89;Berlin;Berlin;10969;269766396;HelloFresh SE;Prinzenstr. 89;Berlin;Berlin;GERMANY;10969;53;15009788;1
327197289;Morgenroth Fixed Income GMBH;387.;N;Kurfürstendamm 178/-179;;10707;Berlin;Berlin;Germany;10623B139831B;00020;0000;6719;Offices of Holding Companies, Not Elsewhere Classified;2023;327357;6900000000;2;2;G;Not available or none;3;Corporation;;Is a subsidiary;274970598;Morgenroth Invest GmbH & Co. KG;Kurfürstendamm 178/-179;Berlin;Berlin;GERMANY;10707;274969189;Morgenroth GmbH & Co. KG;Kurfürstendamm 178/-179;Berlin;Berlin;10707;274969189;Morgenroth GmbH & Co. KG;Kurfürstendamm 178/-179;Berlin;Berlin;GERMANY;10707;13;9554787;3
270787192;Auto1 Group SE;;N;Bergmannstr. 72;;10961;Berlin;Berlin, Stadt;Germany;80333B241031;;0049;7379;Computer Related Services, Not Elsewhere Classified;2018;5462835000;5937943223;0;5356;G;Not available or none;3;Corporation;Headquarter/Parent (branches and/or subsidiaries report to it);;270787192;AUTO1 Group SE;Bergmannstr. 72;Berlin;Berlin;GERMANY;10961;270787192;AUTO1 Group SE;Bergmannstr. 72;Berlin;Berlin;10961;270787192;AUTO1 Group SE;Bergmannstr. 72;Berlin;Berlin;GERMANY;10961;386;32448379;1
273476588;Ks Stores Holding GMBH;;N;Wilhelm-kabus-str. 42/-44;;10829;Berlin;Berlin, Stadt;Germany;10623B184676B;;;6719;Offices of Holding Companies, Not Elsewhere Classified;2011;4017179515;4336653750;24375;24375;G;Not available or none;3;Corporation;;Is a subsidiary;319793983;BH Stores IV B.V.;Markt 6;Beusichem;GELDERLAND;NETHERLANDS;4112 JS;273476588;KS Stores Holding GmbH;Wilhelm-Kabus-Str. 42/-44;Berlin;Berlin;10829;319880811;IMS BENELUX B.V.;Markt 6;Beusichem;GELDERLAND;NETHERLANDS;4112 JS;7;18849887;3
271319506;Helios Kliniken GMBH;;N;Friedrichstr. 136;;10117;Berlin;Berlin, Stadt;Germany;10623B106350B;;0049;8741;Management Services;2016;3200200000;4067774220;33661;33661;G;Not available or none;3;Corporation;Headquarter/Parent (branches and/or subsidiaries report to it);Is a subsidiary;271162662;Fresenius ProServe GmbH;Else-Kröner-Str. 1;Bad Homburg;Hessen;GERMANY;61352;271103055;Fresenius SE & Co. KGaA;Else-Kröner-Str. 1;Bad Homburg;Hessen;61352;271103055;Fresenius SE & Co. KGaA;Else-Kröner-Str. 1;Bad Homburg;Hessen;GERMANY;61352;1156;23665373;3
270768435;Axel Springer SE;;N;Axel-springer-str. 65;;10969;Berlin;Berlin, Stadt;Germany;10623B154517B;;0049;2711;Newspapers: Publishing, or Publishing and Printing;1954;3833900000;3981846367;14069;18205;G;Not available or none;3;Corporation;Headquarter/Parent (branches and/or subsidiaries report to it);;270768435;Axel Springer SE;Axel-Springer-Str. 65;Berlin;Berlin;GERMANY;10969;270768435;Axel Springer SE;Axel-Springer-Str. 65;Berlin;Berlin;10969;270768435;Axel Springer SE;Axel-Springer-Str. 65;Berlin;Berlin;GERMANY;10969;269;26690831;1
271672063;Deutsche Kreditbank AG;;N;Taubenstr. 7-9;;10117;Berlin;Berlin, Stadt;Germany;10623B34165B;;0049;6029;Commercial Banks, Not Elsewhere Classified;1995;3183362000;3460222177;2612;2612;G;Not available or none;3;Corporation;Headquarter/Parent (branches and/or subsidiaries report to it);Is a subsidiary;271140842;Bayerische Landesbank;Brienner Str. 18;Munchen;Bayern;GERMANY;80333;270671765;Bundesland Bayern;Maximilianstr. 39;Munchen;Bayern;80538;270671765;Bundesland Bayern;Maximilianstr. 39;Munchen;Bayern;GERMANY;80538;7015;31372577;4
273321602;Tesla Germany GMBH;;N;Ludwig-prandtl-str. 27-29;;12526;Berlin;Berlin, Stadt;Germany;10623B235261B;;0049;3699;Electrical Machinery, Equipment, and Supplies, Not Elsewhere;2016;3118565080;3389789804;1328;1328;G;Not available or none;3;Corporation;Headquarter/Parent (branches and/or subsidiaries report to it);Is a subsidiary;320691740;Tesla International B.V.;Burgemeester Stramanweg 122;Amsterdam;NOORD-HOLLAND;NETHERLANDS;1101 EN;273321602;Tesla Germany GmbH;Ludwig-Prandtl-Str. 27-29;Berlin;Berlin;12526;320401797;Tesla Motors Stichting;Onbekend Nederlands adres;Onbekend;;NETHERLANDS;0000 AA;788;33165397;3
