ID;Company Name;Trade Name;Address Status;Address 1;Address 2;Postal Code;City;State/Province;Country;Company Registration Number;Company Registration Type Code;Country Phone Access Code;Business Category Code 1;Business Category Code 1 - Description;Founding Year;Yearly Revenue Local Currency;Yearly Revenue in U.S. Dollars;Employees On Site;Employees Total;Import/Export Code;Import/Export Code - Description;Business Legal Type;Business Legal Type - Description;Location Type - Description;Subsidiary Code - Description;Local Headquarter ID Number;Local Headquarter Company Name;Local Headquarter Street Address;Local Headquarter City;Local Headquarter State/Province;Local Headquarter Country Name;Local Headquarter Postal Code;National Headquarter ID Number;National Headquarter Company Name;National Headquarter Street Address;National Headquarter City Name;National Headquarter State/Province Name;National Headquarter Postal Code;Global Headquarter ID Number;Global Headquarter Company Name;Global Headquarter Street Address;Global Headquarter City Name;Global Headquarter State/Province;Global Headquarter Country Name;Global Headquarter Postal Code;Number of Companies in Group;Group Code;Group Linkage Code
247643946;Bp P.L.C.;BP;N;1 St. James'S Square;;SW1Y 4PD;London;London;England;00102498;00012;0044;6719;Offices of Holding Companies, Not Elsewhere Classified;1909;2,41392E+11;2,41392E+11;0;66300;G;Not available or none;3;Corporation;Headquarter/Parent (branches and/or subsidiaries report to it);;247643946;BP P.L.C.;1 St. James's Square;LONDON;LONDON;ENGLAND;SW1Y 4PD;247643946;BP P.L.C.;1 St. James's Square;LONDON;LONDON;SW1Y 4PD;247643946;BP P.L.C.;1 St. James's Square;LONDON;LONDON;ENGLAND;SW1Y 4PD;4793;5281610;1
249092268;Industrial And Commercial Bank Of China LIMITED;INDUSTRIAL AND COMMERCIAL BANK OF CHINA;N;81 King William Street;;EC4N 7BG;London;London;England;FC031145;00012;0044;6021;National Commercial Banks;2011;1,34812E+12;2,10873E+11;16;5;G;Not available or none;120;;;Is a subsidiary;392087399;Industrial And Commercial Bank Of China Limited;No.55 Fuxingmen Inner St., Xicheng District;Beijing;Beijing;CHINA;100000;249092268;INDUSTRIAL AND COMMERCIAL BANK OF CHINA LIMITED;81 King William Street;LONDON;LONDON;EC4N 7BG;392087399;Industrial And Commercial Bank Of China Limited;No.55 Fuxingmen Inner St., Xicheng District;Beijing;Beijing;CHINA;100000;19471;7277128;2
249483207;China Construction Bank CORPORATION London Branch;;N;111 Old Broad Street;;EC2N 1AP;London;London;England;FC032309;00012;0044;7389;Business Services, Not Elsewhere Classified;2014;0;2,04064E+11;14;14;G;Not available or none;120;;;Is a subsidiary;392652539;China Construction Bank Corporation;No.25, Jinrong Street, Xicheng District;Beijing;Beijing;CHINA;100033;249483207;CHINA CONSTRUCTION BANK CORPORATION LONDON BRANCH;111 Old Broad Street;LONDON;LONDON;EC2N 1AP;332665002;China Investment Corporation;16-19/F, New Poly Building, No.1 Chaoyangmen North Street;Beijing;Beijing;CHINA;100027;2867;33918636;4
250469729;Agricultural Bank Of China LIMITED London Branch;;N;7/f 1 Bartholomew Lane;;EC2N 2AX;London;London;England;FC034858;00012;0044;7389;Business Services, Not Elsewhere Classified;2017;0;1,87011E+11;14;14;G;Not available or none;120;;;Is a subsidiary;392089038;Agricultural Bank Of China Limited;No.69, Jianguomen Inner Street, Dongcheng District;Beijing;Beijing;CHINA;100005;250469729;AGRICULTURAL BANK OF CHINA LIMITED LONDON BRANCH;7/F 1 Bartholomew Lane;LONDON;LONDON;EC2N 2AX;392089038;Agricultural Bank Of China Limited;No.69, Jianguomen Inner Street, Dongcheng District;Beijing;Beijing;CHINA;100005;2337;7510874;2
247640236;Bank Of China LIMITED;The Bank of China;N;1-2 Lothbury;;EC2R 7DB;London;London;England;FC002851;00012;0044;6021;National Commercial Banks;1996;1,05559E+12;1,46409E+11;200;306322;C;Imports;120;;Headquarter/Parent (branches and/or subsidiaries report to it);Is a subsidiary;392086156;Bank Of China Limited;No.1, Fuxingmennei St., Xicheng Dist.;Beijing;Beijing;CHINA;100818;247640236;BANK OF CHINA LIMITED;1-2 Lothbury;LONDON;LONDON;EC2R 7DB;332665002;China Investment Corporation;16-19/F, New Poly Building, No.1 Chaoyangmen North Street;Beijing;Beijing;CHINA;100027;31597;33935718;4
247647022;Jpmorgan Chase Bank, National Association;;N;25 Bank Street Canary Wharf;;E14 5JP;London;London;England;FC004891;00012;0044;6021;National Commercial Banks;1824;1,37032E+11;1,37032E+11;0;708;B;Imports & Exports;120;;Headquarter/Parent (branches and/or subsidiaries report to it);Is a subsidiary;188111397;JPMorgan Chase Bank, National Association;1111 Polaris Pkwy;COLUMBUS;Ohio;USA;432402050;247647022;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;25 Bank Street Canary Wharf;LONDON;LONDON;E14 5JP;204059751;JPMorgan Chase & Co.;383 Madison Ave;NEW YORK;New York;USA;101790001;6384;34081260;3
253078612;Engage Pikco LIMITED;;N;C/o Corporation Service Company UK Limited;10th Floor, 5 Churchill Place;E14 5HU;London;London;England;14171847;00012;0000;6719;Offices of Holding Companies, Not Elsewhere Classified;2022;1,28586E+11;1,28586E+11;0;1356;G;Not available or none;3;Corporation;Headquarter/Parent (branches and/or subsidiaries report to it);Is a subsidiary;285415604;Engage Luxco S.à r.l.;route d'Esch 412F;LUXEMBOURG;;LUXEMBOURG;1471;253078612;ENGAGE PIKCO LIMITED;C/O Corporation Service Company (UK) Limited;LONDON;LONDON;E14 5HU;285415604;Engage Luxco S.à r.l.;route d'Esch 412F;LUXEMBOURG;;LUXEMBOURG;1471;6;24015569;2
249302310;L&T Technology Services LIMITED;LTTS;N;First Central 200, 5th Floor;2 Lakeside Drive, Park Royal;NW10 7FQ;London;London;England;FC031465;00012;0000;8711;Engineering Services;2013;82216000000;98802995784;14097;14097;C;Imports;120;;;Is a subsidiary;391339405;L&T TECHNOLOGY SERVICES LIMITED;West Block II, L&T Knowledge City,;Vadodara;Gujarat;INDIA;390019;249302310;L&T TECHNOLOGY SERVICES LIMITED;FIRST CENTRAL 200, 5TH FLOOR;LONDON;LONDON;NW10 7FQ;391252575;LARSEN AND TOUBRO LIMITED;L&T House, Ballard Estate,;Mumbai;Maharashtra;INDIA;400001;3096;26298472;3
254705839;Banco Santander, S.A.;;N;2-3 Triton Square;;NW1 3AN;London;London;England;FC004459;00012;0044;6021;National Commercial Banks;1955;94909000000;98571443401;0;201516;G;Not available or none;120;;Headquarter/Parent (branches and/or subsidiaries report to it);Is a subsidiary;312943094;BANCO SANTANDER SA;PASEO PEREDA, 9 - 12;SANTANDER;Cantabria;SPAIN;39004;254705839;BANCO SANTANDER, S.A.;2-3 Triton Square;LONDON;LONDON;NW1 3AN;312943094;BANCO SANTANDER SA;PASEO PEREDA, 9 - 12;SANTANDER;Cantabria;SPAIN;39004;11098;9042082;2
254710613;Credit Agricole S.A.;Cnca;N;1st Floor;Broadwalk House, 5 Appold Street;EC2A 2DA;London;London;England;FC012270;00012;0044;6021;National Commercial Banks;1984;93378000000;96981363642;71652;71652;G;Not available or none;120;;;Is a subsidiary;266412338;CREDIT AGRICOLE SA;12 PLACE DES ETATS UNIS;MONTROUGE;HAUTS DE SEINE;FRANCE;92120;254710613;CREDIT AGRICOLE S.A.;1st Floor;LONDON;LONDON;EC2A 2DA;354303182;SAS RUE LA BOETIE;48 RUE LA BOETIE;PARIS;PARIS;FRANCE;75008;4169;32367690;3
