ID;Company Name;Trade Name;Address Status;Address 1;Address 2;Postal Code;City;State/Province;Country;Company Registration Number;Company Registration Type Code;Country Phone Access Code;Business Category Code 1;Business Category Code 1 - Description;Founding Year;Yearly Revenue Local Currency;Yearly Revenue in U.S. Dollars;Employees On Site;Employees Total;Import/Export Code;Import/Export Code - Description;Business Legal Type;Business Legal Type - Description;Location Type - Description;Subsidiary Code - Description;Local Headquarter ID Number;Local Headquarter Company Name;Local Headquarter Street Address;Local Headquarter City;Local Headquarter State/Province;Local Headquarter Country Name;Local Headquarter Postal Code;National Headquarter ID Number;National Headquarter Company Name;National Headquarter Street Address;National Headquarter City Name;National Headquarter State/Province Name;National Headquarter Postal Code;Global Headquarter ID Number;Global Headquarter Company Name;Global Headquarter Street Address;Global Headquarter City Name;Global Headquarter State/Province;Global Headquarter Country Name;Global Headquarter Postal Code;Number of Companies in Group;Group Code;Group Linkage Code
195558259;Charter Communications, INC.;CHARTER COMMUNICATIONS;N;400 Washington Blvd;;06902;Stamford;Fairfield;USA;3637127;00882;0001;4841;Cable and Other Pay Television Services;1993;54607000000;54607000000;5010;101100;G;Not available or none;3;Corporation;Headquarter/Parent (branches and/or subsidiaries report to it);;;Charter Communications, Inc.;400 Washington Blvd;STAMFORD;Connecticut;UNITED STATES OF AME;06902;;Charter Communications, Inc.;400 Washington Blvd;STAMFORD;Connecticut;06902;;Charter Communications, Inc.;400 Washington Blvd;STAMFORD;Connecticut;UNITED STATES OF AME;06902;1872;;0
212066682;Staples, INC.;Staples;N;500 Staples Dr;;01702;Framingham;Middlesex;USA;2081725;00882;0001;5112;Stationery and Office Supplies;2017;33842744098;33842744098;2500;77440;G;Not available or none;3;Corporation;Headquarter/Parent (branches and/or subsidiaries report to it);Is a subsidiary;197587441;Sycamore Partners Management, L.P.;9 W 57th St Ste 3100;NEW YORK;New York;UNITED STATES OF AME;10019;197587441;Sycamore Partners Management, L.P.;9 W 57th St Ste 3100;NEW YORK;New York;10019;197587441;Sycamore Partners Management, L.P.;9 W 57th St Ste 3100;NEW YORK;New York;UNITED STATES OF AME;10019;4516;26111380;2
190803942;Adobe INC.;;N;345 Park Ave;;95110;San Jose;Santa Clara;USA;2748129;00882;0001;7372;Prepackaged Software;1982;19409000000;19409000000;600;29945;G;Not available or none;3;Corporation;Headquarter/Parent (branches and/or subsidiaries report to it);;;Adobe Inc.;345 Park Ave;SAN JOSE;California;UNITED STATES OF AME;95110;;Adobe Inc.;345 Park Ave;SAN JOSE;California;95110;;Adobe Inc.;345 Park Ave;SAN JOSE;California;UNITED STATES OF AME;95110;146;;0
213975863;Los Angeles Unified School District;LAUSD;N;333 S Beaudry Ave Ste 209;;900175141;Los Angeles;California;USA;;;0001;8211;Elementary and Secondary Schools;1853;9378014000;9378014000;1000;65231;G;Not available or none;3;Corporation;Headquarter/Parent (branches and/or subsidiaries report to it);;213975863;Los Angeles Unified School District;333 S Beaudry Ave Ste 209;Los Angeles;California;USA;900175141;213975863;Los Angeles Unified School District;333 S Beaudry Ave Ste 209;Los Angeles;California;900175141;213975863;Los Angeles Unified School District;333 S Beaudry Ave Ste 209;Los Angeles;California;USA;900175141;1298;834227;1
194766136;Ford Holdings LLC;Ford;N;American Rd;;48121;Dearborn;Wayne;USA;2206682;00882;0001;6512;Operators of Nonresidential Buildings;1989;9247567635;9247567635;7;31400;G;Not available or none;3;Corporation;Headquarter/Parent (branches and/or subsidiaries report to it);;;Ford Motor Company;1 American Rd;DEARBORN;Michigan;UNITED STATES OF AME;48126;;Ford Motor Company;1 American Rd;DEARBORN;Michigan;48126;;Ford Motor Company;1 American Rd;DEARBORN;Michigan;UNITED STATES OF AME;48126;768;;0
188090268;Southern California Gas Company;Gas Company, The;N;555 W 5th St Ste 14h1;;90013;Los Angeles;Los Angeles;USA;0062767;00882;0001;4924;Natural Gas Distribution;2023;8289000000;8289000000;667;8976;G;Not available or none;3;Corporation;Headquarter/Parent (branches and/or subsidiaries report to it);Is a subsidiary;194170027;Sempra;488 8th Ave;SAN DIEGO;California;UNITED STATES OF AME;92101;194170027;Sempra;488 8th Ave;SAN DIEGO;California;92101;194170027;Sempra;488 8th Ave;SAN DIEGO;California;UNITED STATES OF AME;92101;240;2566135;2
193074793;Sonepar Management Us, INC.;Sonepar USA;N;4400 Leeds Ave Ste 500;;29405;Charleston;Charleston;USA;2943634;00882;0001;5063;Electrical Apparatus and Equipment Wiring Supplies, and Construction Materials;1998;6676875550;6676875550;20;2232;G;Not available or none;3;Corporation;Headquarter/Parent (branches and/or subsidiaries report to it);;;SOCIETE DE NEGOCE ET DE PARTICIPATION;25 RUE D'ASTORG;PARIS;ILE-DE-FRANCE;FRANCE;75008;;Sonepar Management US, Inc.;4400 Leeds Ave Ste 500;CHARLESTON;South Carolina;29405;;SOCIETE DE NEGOCE ET DE PARTICIPATION;25 RUE D'ASTORG;PARIS;ILE-DE-FRANCE;FRANCE;75008;2496;;0
210207873;The Capital Group Companies INC;Capital Group, The;N;333 S Hope St Fl 55;;900713061;Los Angeles;California;USA;0644710;00882;0001;6282;Investment Advice;1966;0;6382022500;800;3180;G;Not available or none;3;Corporation;Headquarter/Parent (branches and/or subsidiaries report to it);;210207873;The Capital Group Companies Inc;333 S Hope St FL 55;Los Angeles;California;USA;900713061;210207873;The Capital Group Companies Inc;333 S Hope St FL 55;Los Angeles;California;900713061;210207873;The Capital Group Companies Inc;333 S Hope St FL 55;Los Angeles;California;USA;900713061;5;12795643;1
244471586;Kb Home;;N;10990 Wilshire Blvd Fl 7;;90024;Los Angeles;Los Angeles;USA;0921407;00882;0001;1531;Operative Builders;1957;6381106000;6381106000;100;2205;G;Not available or none;3;Corporation;Headquarter/Parent (branches and/or subsidiaries report to it);;244471586;KB Home;10990 Wilshire Blvd Fl 7;LOS ANGELES;California;UNITED STATES OF AME;90024;244471586;KB Home;10990 Wilshire Blvd Fl 7;LOS ANGELES;California;90024;244471586;KB Home;10990 Wilshire Blvd Fl 7;LOS ANGELES;California;UNITED STATES OF AME;90024;382;10087994;1
213315134;University Of Southern California;U S C;N;3720 S Flower St Fl 3;;900894304;Los Angeles;California;USA;;;0001;8221;Colleges, Universities, and Professional Schools;1895;5566926612;5566926612;30;22700;G;Not available or none;3;Corporation;Headquarter/Parent (branches and/or subsidiaries report to it);;213315134;University of Southern California;3720 S Flower St FL 3;Los Angeles;California;USA;900894304;213315134;University of Southern California;3720 S Flower St FL 3;Los Angeles;California;900894304;213315134;University of Southern California;3720 S Flower St FL 3;Los Angeles;California;USA;900894304;292;35256541;1
