ID;Company Name;Trade Name;Address Status;Address 1;Address 2;Postal Code;City;State/Province;Country;Company Registration Number;Company Registration Type Code;Country Phone Access Code;Business Category Code 1;Business Category Code 1 - Description;Founding Year;Yearly Revenue Local Currency;Yearly Revenue in U.S. Dollars;Employees On Site;Employees Total;Import/Export Code;Import/Export Code - Description;Business Legal Type;Business Legal Type - Description;Location Type - Description;Subsidiary Code - Description;Local Headquarter ID Number;Local Headquarter Company Name;Local Headquarter Street Address;Local Headquarter City;Local Headquarter State/Province;Local Headquarter Country Name;Local Headquarter Postal Code;National Headquarter ID Number;National Headquarter Company Name;National Headquarter Street Address;National Headquarter City Name;National Headquarter State/Province Name;National Headquarter Postal Code;Global Headquarter ID Number;Global Headquarter Company Name;Global Headquarter Street Address;Global Headquarter City Name;Global Headquarter State/Province;Global Headquarter Country Name;Global Headquarter Postal Code;Number of Companies in Group;Group Code;Group Linkage Code
313288608;Repsol Petroleo SA;REPSOL PETROLEO, S.A.;N;Calle Mendez Alvaro 44;;28045;Madrid;Madrid;Spain;A28047223;00024;0034;2911;Petroleum Refining;1949;28927756000;31443631867;3553;3553;B;Imports & Exports;3;Corporation;Headquarter/Parent (branches and/or subsidiaries report to it);Is a subsidiary;314866273;REPSOL INDUSTRIAL TRANSFORMATION SL.;AVENIDA SERANTES BIDEA 2;ABANTO CIERVANA/ABANTO ZIERBEN;Bizkaia;SPAIN;48500;313352647;REPSOL SA.;CALLE MENDEZ ALVARO 44;MADRID;Madrid;28045;313352647;REPSOL SA.;CALLE MENDEZ ALVARO 44;MADRID;Madrid;SPAIN;28045;1991;4524854;3
313288188;Compañia Española De Petroleos SA;COMPAÑIA ESPAÑOLA DE PETROLEOS, S.A. CEPSA;N;Paseo Castellana, 259 - A. Torre Cepsa;;28046;Madrid;Madrid;Spain;A28003119;00024;0034;2911;Petroleum Refining;1929;21708809000;23596845828;2662;2662;B;Imports & Exports;3;Corporation;Headquarter/Parent (branches and/or subsidiaries report to it);Is a subsidiary;349275549;CEPSA HOLDING  - L.L.C;Abu Dhabi Island, Al Nahyan Camp;Abu Dhabi;Abu Dhabi;UNITED ARAB EMIRATES;;313288188;COMPAÃ‘IA ESPAÃ‘OLA DE PETROLEOS SA;PASEO CASTELLANA, 259 - A. TORRE CEPSA;MADRID;Madrid;28046;480529536;GOVERNMENT OF ABU DHABI;Sheikh Zayed street,  Abu Dhabi;Abu Dhabi;Abu Dhabi;UNITED ARAB EMIRATES;;2776;24909575;4
318210295;Repsol Comercial De Productos Petroliferos SA;;N;Calle Mendez Alvaro 44;;28045;Madrid;Madrid;Spain;A80298839;00024;0034;5172;Petroleum and Petroleum Products Wholesalers, Except Bulk Stations and Terminals;1992;19132217000;20796165045;630;630;G;Not available or none;3;Corporation;Headquarter/Parent (branches and/or subsidiaries report to it);Is a subsidiary;316382779;REPSOL CUSTOMER CENTRIC SL.;GRUPO SERANTES (EDIF. ENERGY INTELLIGEN) 2;ABANTO CIERVANA/ABANTO ZIERBEN;Bizkaia;SPAIN;48500;313352647;REPSOL SA.;CALLE MENDEZ ALVARO 44;MADRID;Madrid;28045;313352647;REPSOL SA.;CALLE MENDEZ ALVARO 44;MADRID;Madrid;SPAIN;28045;1991;4523951;3
480247894;Endesa Energia Sau;;N;Calle Ribera del Loira 60;;28042;Madrid;Madrid;Spain;A81948077;00024;0034;4911;Electric Services;1998;18867600000;20508534040;842;842;B;Imports & Exports;3;Corporation;Headquarter/Parent (branches and/or subsidiaries report to it);Is a subsidiary;313288635;ENDESA SA;CALLE RIBERA DEL LOIRA 60;MADRID;Madrid;SPAIN;28042;313298254;ENEL IBERIA SL.;CALLE RIBERA DEL LOIRA 60;MADRID;Madrid;28042;303905509;ENEL SPA;VIALE REGINA MARGHERITA 137;ROMA;ROMA;ITALY;00198;2461;34733096;4
313226267;Engie España SL.;;N;Calle Ribera del Loira 28;;28042;Madrid;Madrid;Spain;B82508441;00024;0034;4911;Electric Services;1999;16364667347;16996163495;118;265;H;Exports;3;Corporation;Headquarter/Parent (branches and/or subsidiaries report to it);Is a subsidiary;289946200;ENGIE International Holdings B.V.;Grote Voort 291;Zwolle;OVERIJSSEL;NETHERLANDS;8041 BL;313226267;ENGIE ESPAÃ‘A SL.;CALLE RIBERA DEL LOIRA 28;MADRID;Madrid;28042;263125982;ENGIE;1 PLACE SAMUEL DE CHAMPLAIN;COURBEVOIE;ILE-DE-FRANCE;FRANCE;92400;6433;24275061;5
313337066;El Corte Ingles SA;"""EL CORTE INGLES, S.A.""";N;Calle Hermosilla 112;;28009;Madrid;Madrid;Spain;A28017895;00024;0034;5499;Miscellaneous Food Stores;1952;11604176000;12539681461;50305;50305;B;Imports & Exports;3;Corporation;Headquarter/Parent (branches and/or subsidiaries report to it);;313337066;EL CORTE INGLES SA;CALLE HERMOSILLA 112;MADRID;Madrid;SPAIN;28009;313337066;EL CORTE INGLES SA;CALLE HERMOSILLA 112;MADRID;Madrid;28009;313337066;EL CORTE INGLES SA;CALLE HERMOSILLA 112;MADRID;Madrid;SPAIN;28009;1769;18765041;1
313783313;Sociedad Estatal Loterias Y Apuestas Del Estado SME SA;SISTEMAS TECNICOS DE LOTERIAS DEL ESTADO, S.A. ( STL );N;Calle Poeta Joan Maragall 53;;28020;Madrid;Madrid;Spain;A86171964;00024;0034;7999;Amusement and Recreation Services, Not Elsewhere Classified;2011;9956948000;10822913725;483;483;G;Not available or none;3;Corporation;Headquarter/Parent (branches and/or subsidiaries report to it);Is a subsidiary;350895971;DIRECCION GENERAL DEL PATRIMONIO DEL ESTADO-MINISTERIO DE ECONOMIA Y HACIENDA;CALLE JOSE ABASCAL, 2 - 2Âª PLANTA;MADRID;Madrid;SPAIN;28003;350895971;DIRECCION GENERAL DEL PATRIMONIO DEL ESTADO-MINISTERIO DE ECONOMIA Y HACIENDA;CALLE JOSE ABASCAL, 2 - 2Âª PLANTA;MADRID;Madrid;28003;350895971;DIRECCION GENERAL DEL PATRIMONIO DEL ESTADO-MINISTERIO DE ECONOMIA Y HACIENDA;CALLE JOSE ABASCAL, 2 - 2Âª PLANTA;MADRID;Madrid;SPAIN;28003;185;29029458;2
313212134;Repsol Trading SA.;RYTTSA;N;Calle Mendez Alvaro 44;;28045;Madrid;Madrid;Spain;A82489451;00024;0034;4449;Water Transportation of Freight, Not Elsewhere Classified;1999;9597858000;10432593308;189;189;B;Imports & Exports;3;Corporation;Headquarter/Parent (branches and/or subsidiaries report to it);Is a subsidiary;314866273;REPSOL INDUSTRIAL TRANSFORMATION SL.;AVENIDA SERANTES BIDEA 2;ABANTO CIERVANA/ABANTO ZIERBEN;Bizkaia;SPAIN;48500;313352647;REPSOL SA.;CALLE MENDEZ ALVARO 44;MADRID;Madrid;28045;313352647;REPSOL SA.;CALLE MENDEZ ALVARO 44;MADRID;Madrid;SPAIN;28045;1991;4524905;3
313756279;Naturgy Aprovisionamientos SA.;;N;Avenida San Luis 77;;28033;Madrid;Madrid;Spain;A82531062;00024;0034;4925;Mixed, Manufactured, or Liquefied Petroleum Gas Production and/or;1999;9065411000;9853838860;70;70;H;Exports;3;Corporation;Headquarter/Parent (branches and/or subsidiaries report to it);;313756279;NATURGY ENERGY GROUP SA.;AVENIDA AMERICA 38;MADRID;Madrid;SPAIN;28028;313756279;NATURGY ENERGY GROUP SA.;AVENIDA AMERICA 38;MADRID;Madrid;28028;313756279;NATURGY ENERGY GROUP SA.;AVENIDA AMERICA 38;MADRID;Madrid;SPAIN;28028;287;4250108;1
312863902;Gas Natural Comercializadora SA;;N;Avenida San Luis 77;;28033;Madrid;Madrid;Spain;A61797536;00024;0034;4924;Natural Gas Distribution;1998;8416751000;9148764251;516;658;H;Exports;3;Corporation;Headquarter/Parent (branches and/or subsidiaries report to it);Is a subsidiary;312616383;NATURGY ENERGY GROUP SA.;AVENIDA AMERICA 38;MADRID;Madrid;SPAIN;28028;312616383;NATURGY ENERGY GROUP SA.;AVENIDA AMERICA 38;MADRID;Madrid;28028;312616383;NATURGY ENERGY GROUP SA.;AVENIDA AMERICA 38;MADRID;Madrid;SPAIN;28028;287;34625380;2
312680234;Telefonica De España Sau;;N;Calle Gran Via 28;;28013;Madrid;Madrid;Spain;A82018474;00024;0034;4813;Telephone Communications, Except Radiotelephone;1998;7341589000;7980094337;11706;11706;G;Not available or none;3;Corporation;Headquarter/Parent (branches and/or subsidiaries report to it);Is a subsidiary;313288301;TELEFONICA, SA;CALLE GRAN VIA, 28 - 5;MADRID;Madrid;SPAIN;28013;313288301;TELEFONICA, SA;CALLE GRAN VIA, 28 - 5;MADRID;Madrid;28013;313288301;TELEFONICA, SA;CALLE GRAN VIA, 28 - 5;MADRID;Madrid;SPAIN;28013;2362;23459015;2
313397189;Iberia Lineas Aereas De España Sociedad Anonima Operadora;IBERIA - LINEAS AEREAS DE ESPAÑA, S.A.;N;Calle Martinez Villergas 49;;28027;Madrid;Madrid;Spain;A85850394;00024;0034;4512;Air Transportation, Scheduled;2009;6413000000;6970745023;16100;16100;C;Imports;3;Corporation;Headquarter/Parent (branches and/or subsidiaries report to it);Is a subsidiary;313397187;IB OPCO HOLDING SL;CALLE MARTINEZ VILLERGAS 49;MADRID;Madrid;SPAIN;28027;313396265;INTERNATIONAL CONSOLIDATED AIRLINES GROUP SA;CAMINO LA MUÃ‘OZA, S/N - EL CASERIO IBERIA ZONA INDUSTRIA 2;MADRID;Madrid;28042;313396265;INTERNATIONAL CONSOLIDATED AIRLINES GROUP SA;CAMINO LA MUÃ‘OZA, S/N - EL CASERIO IBERIA ZONA INDUSTRIA 2;MADRID;Madrid;SPAIN;28042;113;17226892;3
316293649;Pavilion Energy Spain SA.;;N;Paseo Castellana (torre Cristal), 259 - C Planta 21 sur;;28046;Madrid;Madrid;Spain;A88410493;00024;0034;4911;Electric Services;2019;5730684000;6063974851;3;3;B;Imports & Exports;3;Corporation;;Is a subsidiary;395302911;PAVILION ENERGY TRADING & SUPPLY PTE. LTD.;12 Marina Boulevard;SINGAPORE;;SINGAPORE;018982;316293649;PAVILION ENERGY SPAIN SA.;PASEO CASTELLANA (TORRE CRISTAL), 259 - C PLANTA 21 SUR;MADRID;Madrid;28046;356066920;PRIME MINISTER'S OFFICE SINGAPORE;Orchard Road;SINGAPORE;;SINGAPORE;238823;3098;31669280;8
314126688;Ca Life Insurance Experts Compañia De Seguros Y Reaseguros SA.;;N;Calle Agustin de Foxa, 29 - Piso 6âºa;;28036;Madrid;Madrid;Spain;A86485794;00024;0034;6311;Life Insurance;2012;5331293000;5726416449;24;62;H;Exports;3;Corporation;Headquarter/Parent (branches and/or subsidiaries report to it);Is a subsidiary;313952679;MGC INSURANCE, MUTUA DE SEGUROS Y REASEGUROS A PRIMA FIJA.;CALLE TUSET, 5 - 11;BARCELONA;Barcelona;SPAIN;08006;313952679;MGC INSURANCE, MUTUA DE SEGUROS Y REASEGUROS A PRIMA FIJA.;CALLE TUSET, 5 - 11;BARCELONA;Barcelona;08006;313952679;MGC INSURANCE, MUTUA DE SEGUROS Y REASEGUROS A PRIMA FIJA.;CALLE TUSET, 5 - 11;BARCELONA;Barcelona;SPAIN;08006;7;2967833;2
