ID;Company Name;Trade Name;Address Status;Address 1;Address 2;Postal Code;City;State/Province;Country;Company Registration Number;Company Registration Type Code;Country Phone Access Code;Business Category Code 1;Business Category Code 1 - Description;Founding Year;Yearly Revenue Local Currency;Yearly Revenue in U.S. Dollars;Employees On Site;Employees Total;Import/Export Code;Import/Export Code - Description;Business Legal Type;Business Legal Type - Description;Location Type - Description;Subsidiary Code - Description;Local Headquarter ID Number;Local Headquarter Company Name;Local Headquarter Street Address;Local Headquarter City;Local Headquarter State/Province;Local Headquarter Country Name;Local Headquarter Postal Code;National Headquarter ID Number;National Headquarter Company Name;National Headquarter Street Address;National Headquarter City Name;National Headquarter State/Province Name;National Headquarter Postal Code;Global Headquarter ID Number;Global Headquarter Company Name;Global Headquarter Street Address;Global Headquarter City Name;Global Headquarter State/Province;Global Headquarter Country Name;Global Headquarter Postal Code;Number of Companies in Group;Group Code;Group Linkage Code
204059751;Jpmorgan Chase & CO.;Jpmorgan Chase;N;383 Madison Ave;;101790001;New York;New York;USA;0691011;00882;0001;6021;National Commercial Banks;1968;0;2,39425E+11;2178;309926;G;Not available or none;3;Corporation;Headquarter/Parent (branches and/or subsidiaries report to it);;204059751;Jpmorgan Chase & Co.;383 Madison Ave;New York;New York;USA;101790001;204059751;Jpmorgan Chase & Co.;383 Madison Ave;New York;New York;101790001;204059751;Jpmorgan Chase & Co.;383 Madison Ave;New York;New York;USA;101790001;608;34080750;1
245473560;Citigroup INC.;Citibank;N;388 Greenwich St Fl 38;;100132362;New York;New York;USA;2154254;00882;0001;6021;National Commercial Banks;1812;0;1,5682E+11;2000;240000;G;Not available or none;3;Corporation;Headquarter/Parent (branches and/or subsidiaries report to it);;245473560;Citigroup Inc.;388 Greenwich St FL 38;New York;New York;USA;100132362;245473560;Citigroup Inc.;388 Greenwich St FL 38;New York;New York;100132362;245473560;Citigroup Inc.;388 Greenwich St FL 38;New York;New York;USA;100132362;568;8281467;1
228252388;Verizon Communications INC.;Verizon;N;1095 Avenue of the Americas;;100366704;New York;New York;USA;2018751;00882;0001;4813;Telephone Communications, Except Radiotelephone;1983;1,36835E+11;1,36835E+11;400;117100;G;Not available or none;3;Corporation;Headquarter/Parent (branches and/or subsidiaries report to it);;228252388;Verizon Communications Inc.;1095 Ave of The Americas;New York;New York;USA;100366704;228252388;Verizon Communications Inc.;1095 Ave of The Americas;New York;New York;100366704;228252388;Verizon Communications Inc.;1095 Ave of The Americas;New York;New York;USA;100366704;7884;19129796;1
213359762;City Of New York;;N;City Hall Park;;10007;New York;New York;USA;;;0001;9111;Executive Offices;1625;1,10943E+11;1,10943E+11;530;310000;C;Imports;3;Corporation;Headquarter/Parent (branches and/or subsidiaries report to it);;213359762;City of New York;City Hall Park;New York;New York;USA;10007;213359762;City of New York;City Hall Park;New York;New York;10007;213359762;City of New York;City Hall Park;New York;New York;USA;10007;1495;10124063;1
186472043;Pfizer INC.;Pfizer;N;66 Hudson Blvd E Fl 20;;100012192;New York;New York;USA;383418;00882;0001;2834;Pharmaceutical Preparations;1942;1,0033E+11;1,0033E+11;2500;83000;G;Not available or none;3;Corporation;Headquarter/Parent (branches and/or subsidiaries report to it);;186472043;Pfizer Inc.;66 Hudson Blvd E FL 20;New York;New York;USA;100012192;186472043;Pfizer Inc.;66 Hudson Blvd E FL 20;New York;New York;100012192;186472043;Pfizer Inc.;66 Hudson Blvd E FL 20;New York;New York;USA;100012192;56;22947005;1
224257446;Morgan Stanley;Morgan Stanley;N;1585 Broadway;;100368200;New York;New York;USA;0923632;00882;0001;6211;Security Brokers, Dealers, and Flotation Companies;1924;0;96194000000;3000;80000;G;Not available or none;3;Corporation;Headquarter/Parent (branches and/or subsidiaries report to it);;224257446;Morgan Stanley;1585 Broadway;New York;New York;USA;100368200;224257446;Morgan Stanley;1585 Broadway;New York;New York;100368200;224257446;Morgan Stanley;1585 Broadway;New York;New York;USA;100368200;124;21813156;1
208498648;The Goldman Sachs Group INC;Goldman Sachs;N;200 West St;;102822198;New York;New York;USA;2923466;00882;0001;6211;Security Brokers, Dealers, and Flotation Companies;1869;68711000000;68711000000;7;45400;G;Not available or none;3;Corporation;Headquarter/Parent (branches and/or subsidiaries report to it);;208498648;The Goldman Sachs Group Inc;200 West St Bldg 200 # 200;New York;New York;USA;102822198;208498648;The Goldman Sachs Group Inc;200 West St Bldg 200 # 200;New York;New York;102822198;208498648;The Goldman Sachs Group Inc;200 West St Bldg 200 # 200;New York;New York;USA;102822198;34;1588423;1
230589377;Metlife, INC.;METLIFE;N;200 Park Ave;;10166;New York City;New York;USA;3081064;00882;0001;6311;Life Insurance;1863;66905000000;66905000000;16;45000;G;Not available or none;3;Corporation;Headquarter/Parent (branches and/or subsidiaries report to it);;230589377;Metlife, Inc.;200 Park Ave;NEW YORK;New York;UNITED STATES OF AME;10166;230589377;Metlife, Inc.;200 Park Ave;NEW YORK;New York;10166;230589377;Metlife, Inc.;200 Park Ave;NEW YORK;New York;UNITED STATES OF AME;10166;1658;15812246;1
188110589;American Express Company;American Express;N;200 Vesey St;;102850002;New York;New York;USA;188055;00882;0001;6141;Personal Credit Institutions;1850;55625000000;55625000000;743;64000;G;Not available or none;3;Corporation;Headquarter/Parent (branches and/or subsidiaries report to it);;188110589;American Express Company;200 Vesey St;New York;New York;USA;102850002;188110589;American Express Company;200 Vesey St;New York;New York;102850002;188110589;American Express Company;200 Vesey St;New York;New York;USA;102850002;1616;23485593;1
202934312;American International Group, INC.;AIG;N;1271 Avenue of the Americas Fl C3;;10020;New York City;New York;USA;658607;00882;0001;6331;Fire, Marine, and Casualty Insurance;1919;46802000000;46802000000;1076;25200;G;Not available or none;3;Corporation;Headquarter/Parent (branches and/or subsidiaries report to it);;202934312;American International Group, Inc.;1271 Ave of The Americas;NEW YORK;New York;UNITED STATES OF AME;10020;202934312;American International Group, Inc.;1271 Ave of The Americas;NEW YORK;New York;10020;202934312;American International Group, Inc.;1271 Ave of The Americas;NEW YORK;New York;UNITED STATES OF AME;10020;1777;12160977;1
