ID;Company Name;Trade Name;Address Status;Address 1;Address 2;Postal Code;City;State/Province;Country;Company Registration Number;Company Registration Type Code;Country Phone Access Code;CEO Name;Business Category Code 1;Business Category Code 1 - Description;Founding Year;Yearly Revenue Local Currency;Yearly Revenue in U.S. Dollars;Employees On Site;Employees Total;Import/Export Code;Import/Export Code - Description;Business Legal Type;Business Legal Type - Description;Location Type - Description;Subsidiary Code - Description;Local Headquarter ID Number;Local Headquarter Company Name;Local Headquarter Street Address;Local Headquarter City;Local Headquarter State/Province;Local Headquarter Country Name;Local Headquarter Postal Code;National Headquarter ID Number;National Headquarter Company Name;National Headquarter Street Address;National Headquarter City Name;National Headquarter State/Province Name;National Headquarter Postal Code;Global Headquarter ID Number;Global Headquarter Company Name;Global Headquarter Street Address;Global Headquarter City Name;Global Headquarter State/Province;Global Headquarter Country Name;Global Headquarter Postal Code;Number of Companies in Group;Group Code;Group Linkage Code
260174186;Societe Nationale D'exploitation Industrielle Des Tabacs Et Allumettes;SEITA;N;200 216;200 Rue Raymond Losserand;75014;Paris;Paris;France;3,31355E+13;00017;0033;Romain Laroche;5194;Tobacco and Tobacco Products;1984;3,51769E+11;3,5063E+11;381;0;H;Exports;3;Corporation;Headquarter/Parent (branches and/or subsidiaries report to it);Is a subsidiary;267369924;IMPERIAL TOBACCO LIMITED;121 Winterstoke Road;BRISTOL;AVON;ENGLAND;BS3 2LL;260174186;SOCIETE NATIONALE D'EXPLOITATION INDUSTRIELLE DES TABACS ET ALLUMETTES;200 216;PARIS;PARIS;75014;330870263;IMPERIAL BRANDS PLC;121 WINTERSTOKE ROAD;BRISTOL;AVON;ENGLAND;BS3 2LL;823;10070302;5
263180102;Electricite De France;EDF;N;22-30;22 Avenue de Wagram;75008;Paris;Paris;France;5,52081E+13;00017;0033;Luc Remont;4911;Electric Services;1955;90291000000;98143698561;63186;63186;G;Not available or none;3;Corporation;Headquarter/Parent (branches and/or subsidiaries report to it);Is a subsidiary;256704126;AGENCE DES PARTICIPATIONS DE L'ETAT;TELEDOC 228;PARIS 12;ILE-DE-FRANCE;FRANCE;75012;256704126;AGENCE DES PARTICIPATIONS DE L'ETAT;TELEDOC 228;PARIS 12;ILE-DE-FRANCE;75012;256704126;AGENCE DES PARTICIPATIONS DE L'ETAT;TELEDOC 228;PARIS 12;ILE-DE-FRANCE;FRANCE;75012;30919;21154692;2
285952161;Itm Alimentaire International;ITM AI;N;24 Rue Auguste Chabrieres;;75015;Paris;Paris;France;3,41192E+13;00017;0033;Christophe Chineau;5199;Nondurable Goods, Not Elsewhere Classified;1987;17199589158;17863304104;10;901;G;Not available or none;3;Corporation;Headquarter/Parent (branches and/or subsidiaries report to it);Is a subsidiary;264423078;ITM ENTREPRISES SA;24 RUE AUGUSTE CHABRIERES;PARIS 15;ILE-DE-FRANCE;FRANCE;75015;258388241;LES MOUSQUETAIRES;24 RUE AUGUSTE CHABRIERES;PARIS;ILE-DE-FRANCE;75015;258388241;LES MOUSQUETAIRES;24 RUE AUGUSTE CHABRIERES;PARIS;ILE-DE-FRANCE;FRANCE;75015;759;5473673;4
258128341;Totalenergies Electricite Et Gaz France;;N;2 B Rue Louis Armand;;75015;Paris;Paris;France;4,42395E+13;00017;0033;Stephane Michel;4911;Electric Services;2002;15447975000;16791500834;500;658;G;Not available or none;3;Corporation;Headquarter/Parent (branches and/or subsidiaries report to it);Is a subsidiary;263116871;TOTALENERGIES SE;LA DEFENSE 6;COURBEVOIE;ILE-DE-FRANCE;FRANCE;92400;263116871;TOTALENERGIES SE;LA DEFENSE 6;COURBEVOIE;ILE-DE-FRANCE;92400;263116871;TOTALENERGIES SE;LA DEFENSE 6;COURBEVOIE;ILE-DE-FRANCE;FRANCE;92400;5531;19692538;2
391091949;Safran Aircraft Engines;;N;2 Boulevard Du General Martial Valin;;75015;Paris;Paris;France;4,14815E+13;00017;0033;Jean-paul Alary;3721;Aircraft;1997;12143230000;13199338856;100;13667;G;Not available or none;3;Corporation;Headquarter/Parent (branches and/or subsidiaries report to it);Is a subsidiary;263242607;SAFRAN;2 BOULEVARD DU GENERAL MARTIAL VALIN;PARIS;ILE-DE-FRANCE;FRANCE;75015;263242607;SAFRAN;2 BOULEVARD DU GENERAL MARTIAL VALIN;PARIS;ILE-DE-FRANCE;75015;263242607;SAFRAN;2 BOULEVARD DU GENERAL MARTIAL VALIN;PARIS;ILE-DE-FRANCE;FRANCE;75015;381;7302630;2
286385624;Louis Vuitton Malletier;;N;2 Rue Du Pont Neuf;;75001;Paris;Paris;France;3,18571E+13;00017;0033;Pietro Beccari;5021;Furniture;1980;10958000000;11911028218;20;20;H;Exports;3;Corporation;Headquarter/Parent (branches and/or subsidiaries report to it);Is a subsidiary;264763347;LVMH MOET HENNESSY LOUIS VUITTON;22 AVENUE MONTAIGNE;PARIS;ILE-DE-FRANCE;FRANCE;75008;264763347;LVMH MOET HENNESSY LOUIS VUITTON;22 AVENUE MONTAIGNE;PARIS;ILE-DE-FRANCE;75008;264763347;LVMH MOET HENNESSY LOUIS VUITTON;22 AVENUE MONTAIGNE;PARIS;ILE-DE-FRANCE;FRANCE;75008;4846;11736807;2
285960021;La Poste;;N;Direction Generale de la Poste;9 Rue Du Colonel Pierre Avia;75015;Paris;Paris;France;3,56E+13;00017;0033;Philippe Wahl;4311;United States Postal Service;1991;10585000000;10993464565;2000;10000;H;Exports;3;Corporation;Headquarter/Parent (branches and/or subsidiaries report to it);Is a subsidiary;256864163;CAISSE DES DEPOTS ET CONSIGNATIONS;56 RUE DE LILLE;PARIS 7;ILE-DE-FRANCE;FRANCE;75007;256704126;AGENCE DES PARTICIPATIONS DE L'ETAT;TELEDOC 228;PARIS 12;ILE-DE-FRANCE;75012;256704126;AGENCE DES PARTICIPATIONS DE L'ETAT;TELEDOC 228;PARIS 12;ILE-DE-FRANCE;FRANCE;75012;30919;21134268;3
285959946;Sca Petrole Et Derives;;N;24 Rue Auguste Chabrieres;;75015;Paris;Paris;France;3,53598E+13;00017;0033;Jean-marc Serge Alphonse Devaine;5172;Petroleum and Petroleum Products Wholesalers, Except Bulk Stations and Terminals;1989;9949868000;10815217970;55;55;G;Not available or none;3;Corporation;Headquarter/Parent (branches and/or subsidiaries report to it);Is a subsidiary;264423078;ITM ENTREPRISES SA;24 RUE AUGUSTE CHABRIERES;PARIS 15;ILE-DE-FRANCE;FRANCE;75015;258388241;LES MOUSQUETAIRES;24 RUE AUGUSTE CHABRIERES;PARIS;ILE-DE-FRANCE;75015;258388241;LES MOUSQUETAIRES;24 RUE AUGUSTE CHABRIERES;PARIS;ILE-DE-FRANCE;FRANCE;75015;759;5473989;4
263300440;Sucres Et Denrees;SUCDEN;N;20-22;20 Rue de la Ville L'Eveque;75008;Paris;Paris;France;5,7212E+13;00017;0033;Sami Demal;5145;Confectionery;1957;9146447000;9941922642;214;278;G;Not available or none;3;Corporation;Headquarter/Parent (branches and/or subsidiaries report to it);;263300440;SUCRES ET DENREES;20-22;PARIS;ILE-DE-FRANCE;FRANCE;75008;263300440;SUCRES ET DENREES;20-22;PARIS;ILE-DE-FRANCE;75008;263300440;SUCRES ET DENREES;20-22;PARIS;ILE-DE-FRANCE;FRANCE;75008;40;34559138;1
285947683;Societe Francaise Du Radiotelephone - S.F.R;;N;16 Rue Du Gal Alain de Boissieu;;75015;Paris;Paris;France;3,4306E+13;00017;0033;Mathieu Cocq;4813;Telephone Communications, Except Radiotelephone;1987;9143872655;9939124404;2000;5747;G;Not available or none;3;Corporation;Headquarter/Parent (branches and/or subsidiaries report to it);Is a subsidiary;258700172;ALTICE FRANCE;16 RUE DU GENERAL ALAIN DE BOISSIEU;PARIS;ILE-DE-FRANCE;FRANCE;75015;258700172;ALTICE FRANCE;16 RUE DU GENERAL ALAIN DE BOISSIEU;PARIS;ILE-DE-FRANCE;75015;284860265;Next Luxembourg S.C.Sp;rue Hildegard von Bingen 1;LUXEMBOURG;;LUXEMBURG;1282;607;19292815;7
