ID;Company Name;Trade Name;Address Status;Address 1;Address 2;Postal Code;City;State/Province;Country;Company Registration Number;Company Registration Type Code;Country Phone Access Code;Business Category Code 1;Business Category Code 1 - Description;Founding Year;Yearly Revenue Local Currency;Yearly Revenue in U.S. Dollars;Employees On Site;Employees Total;Import/Export Code;Import/Export Code - Description;Business Legal Type;Business Legal Type - Description;Location Type - Description;Subsidiary Code - Description;Local Headquarter ID Number;Local Headquarter Company Name;Local Headquarter Street Address;Local Headquarter City;Local Headquarter State/Province;Local Headquarter Country Name;Local Headquarter Postal Code;National Headquarter ID Number;National Headquarter Company Name;National Headquarter Street Address;National Headquarter City Name;National Headquarter State/Province Name;National Headquarter Postal Code;Global Headquarter ID Number;Global Headquarter Company Name;Global Headquarter Street Address;Global Headquarter City Name;Global Headquarter State/Province;Global Headquarter Country Name;Global Headquarter Postal Code;Number of Companies in Group;Group Code;Group Linkage Code
303978314;Eni SPA;;N;Piazzale Enrico Mattei 1;;00144;Roma;Roma;Italy;IT00905811006;00018;0039;2911;Petroleum Refining;1953;93717000000;1,01868E+11;11556;11556;G;Not available or none;3;Corporation;Headquarter/Parent (branches and/or subsidiaries report to it);;303978314;ENI SPA;PIAZZALE ENRICO MATTEI 1;ROMA;ROMA;ITALY;00144;303978314;ENI SPA;PIAZZALE ENRICO MATTEI 1;ROMA;ROMA;00144;303978314;ENI SPA;PIAZZALE ENRICO MATTEI 1;ROMA;ROMA;ITALY;00144;2055;11706683;1
272402369;Enel SPA;;N;Viale Regina Margherita 137;;00198;Roma;Roma;Italy;IT00934061003;00018;0039;6719;Offices of Holding Companies, Not Elsewhere Classified;1962;92882000000;1,0096E+11;1030;1030;G;Not available or none;3;Corporation;Headquarter/Parent (branches and/or subsidiaries report to it);;303905509;ENEL SPA;VIALE REGINA MARGHERITA 137;ROMA;ROMA;ITALY;00198;303905509;ENEL SPA;VIALE REGINA MARGHERITA 137;ROMA;ROMA;00198;303905509;ENEL SPA;VIALE REGINA MARGHERITA 137;ROMA;ROMA;ITALY;00198;2461;34731286;1
272336719;Gestore Dei Servizi Energetici - Gse SPA;GSE SPA;N;Viale Maresciallo Pilsudski 92;;00197;Roma;Roma;Italy;IT05754381001;00018;0039;4911;Electric Services;1999;55062403000;59851235251;702;702;G;Not available or none;3;Corporation;Headquarter/Parent (branches and/or subsidiaries report to it);;302300390;MINISTERO DELL'ECONOMIA E DELLE FINANZE;VIA XX SETTEMBRE 97;ROMA;ROMA;ITALY;00187;393161092;SEGRETARIATO GENERALE DELLA PRESIDENZA DELLA REPUBBLICA;VIA DELLA DATARIA 96;ROMA;ROMA;00187;393161092;SEGRETARIATO GENERALE DELLA PRESIDENZA DELLA REPUBBLICA;VIA DELLA DATARIA 96;ROMA;ROMA;ITALY;00187;36373;33737213;4
305471257;Enel Italia SPA;;N;Viale Regina Margherita 125;;00198;Roma;Roma;Italy;IT06377691008;00018;0039;6719;Offices of Holding Companies, Not Elsewhere Classified;2001;51855000000;53856032595;1990;0;G;Not available or none;3;Corporation;Headquarter/Parent (branches and/or subsidiaries report to it);Is a subsidiary;303905509;ENEL SPA;VIALE REGINA MARGHERITA 137;ROMA;ROMA;ITALY;00198;303905509;ENEL SPA;VIALE REGINA MARGHERITA 137;ROMA;ROMA;00198;303905509;ENEL SPA;VIALE REGINA MARGHERITA 137;ROMA;ROMA;ITALY;00198;4009;34733147;2
305927973;Gestore Dei Mercati Energetici SPA;GME SPA;N;Viale Maresciallo Pilsudski 122/124;;00197;Roma;Roma;Italy;IT06208031002;00018;0039;4911;Electric Services;2000;43746768911;47551469150;3;3;G;Not available or none;3;Corporation;;Is a subsidiary;302300390;GESTORE DEI SERVIZI ENERGETICI - GSE SPA;VIALE MARESCIALLO PILSUDSKI 92;ROMA;ROMA;ITALY;00197;393161092;SEGRETARIATO GENERALE DELLA PRESIDENZA DELLA REPUBBLICA;VIA DELLA DATARIA 96;ROMA;ROMA;00187;393161092;SEGRETARIATO GENERALE DELLA PRESIDENZA DELLA REPUBBLICA;VIA DELLA DATARIA 96;ROMA;ROMA;ITALY;00187;36373;32397156;5
285882545;Enel Italia SPA;;N;Via Luigi Boccherini 15;;00198;Roma;Roma;Italy;IT06377691008;00018;0039;6719;Offices of Holding Companies, Not Elsewhere Classified;2001;43522000000;47307151862;1948;1948;G;Not available or none;3;Corporation;Headquarter/Parent (branches and/or subsidiaries report to it);;305471257;ENEL SPA;VIALE REGINA MARGHERITA 137;ROMA;ROMA;ITALY;00198;303905509;ENEL SPA;VIALE REGINA MARGHERITA 137;ROMA;ROMA;00198;303905509;ENEL SPA;VIALE REGINA MARGHERITA 137;ROMA;ROMA;ITALY;00198;4009;34734139;2
306320592;Eni Trade & Biofuels SPA;;N;Piazzale Enrico Mattei 1;;00144;Roma;Roma;Italy;IT10133500966;00018;0039;5172;Petroleum and Petroleum Products Wholesalers, Except Bulk Stations and Terminals;2007;37783301513;41069353029;99;189;G;Not available or none;3;Corporation;Headquarter/Parent (branches and/or subsidiaries report to it);Is a subsidiary;303978314;ENI SPA;PIAZZALE ENRICO MATTEI 1;ROMA;ROMA;ITALY;00144;303978314;ENI SPA;PIAZZALE ENRICO MATTEI 1;ROMA;ROMA;00144;303978314;ENI SPA;PIAZZALE ENRICO MATTEI 1;ROMA;ROMA;ITALY;00144;2192;11707904;2
307104632;Enel Global Trading SPA;;N;Viale Regina Margherita 125;;00198;Roma;Roma;Italy;IT05918271007;00018;0039;5172;Petroleum and Petroleum Products Wholesalers, Except Bulk Stations and Terminals;1999;30227637776;32856565661;456;456;G;Not available or none;3;Corporation;Headquarter/Parent (branches and/or subsidiaries report to it);Is a subsidiary;303905509;ENEL SPA;VIALE REGINA MARGHERITA 137;ROMA;ROMA;ITALY;00198;303905509;ENEL SPA;VIALE REGINA MARGHERITA 137;ROMA;ROMA;00198;303905509;ENEL SPA;VIALE REGINA MARGHERITA 137;ROMA;ROMA;ITALY;00198;2461;34734628;2
302300390;Gestore Dei Servizi Energetici - Gse SPA;GSE SPA;N;Viale Maresciallo Pilsudski 92;;00197;Roma;Roma;Italy;IT05754381001;00018;0039;4911;Electric Services;1999;18246174299;29977440000;692;0;G;Not available or none;3;Corporation;Headquarter/Parent (branches and/or subsidiaries report to it);Is a subsidiary;302320885;MINISTERO DELL'ECONOMIA E DELLE FINANZE;VIA XX SETTEMBRE 97;ROMA;ROMA;ITALY;00187;393161092;SEGRETARIATO GENERALE DELLA PRESIDENZA DELLA REPUBBLICA;VIA DELLA DATARIA 96;ROMA;ROMA;00187;393161092;SEGRETARIATO GENERALE DELLA PRESIDENZA DELLA REPUBBLICA;VIA DELLA DATARIA 96;ROMA;ROMA;ITALY;00187;37092;32397141;4
312550955;Enel Energia SPA;;N;Via Luigi Boccherini 15;;00198;Roma;Roma;Italy;IT06655971007;00018;0039;4911;Electric Services;1962;26762957056;29090558194;1869;1869;G;Not available or none;3;Corporation;Headquarter/Parent (branches and/or subsidiaries report to it);;305471282;ENEL ITALIA SPA;VIA LUIGI BOCCHERINI 15;ROMA;ROMA;ITALY;00198;303905509;ENEL SPA;VIALE REGINA MARGHERITA 137;ROMA;ROMA;00198;303905509;ENEL SPA;VIALE REGINA MARGHERITA 137;ROMA;ROMA;ITALY;00198;4009;34734399;3
